2025-12-15_17-29-12,0,Main.java:2025-12-15_17-29-12
2025-12-15_17-31-12,0,Main.java:2025-12-15_17-31-12
2025-12-15_17-31-37,0,Main.java:2025-12-15_17-31-37
2025-12-15_17-31-51,0,Main.java:2025-12-15_17-31-37
2025-12-15_17-33-15,0,Main.java:2025-12-15_17-33-15
2025-12-15_17-33-39,0,Main.java:2025-12-15_17-33-39
2025-12-15_17-34-16,0,Main.java:2025-12-15_17-34-16
2025-12-15_17-34-45,0,Main.java:2025-12-15_17-34-45
2025-12-15_17-35-07,0,Main.java:2025-12-15_17-35-07
2025-12-15_17-37-20,0,Main.java:2025-12-15_17-37-20
2025-12-15_17-38-02,0,Main.java:2025-12-15_17-38-02
2025-12-15_17-38-51,0,Main.java:2025-12-15_17-38-51
2025-12-15_17-41-43,0,Main.java:2025-12-15_17-41-43
2025-12-15_17-41-59,0,Main.java:2025-12-15_17-41-59
2025-12-15_17-54-59,0,Main.java:2025-12-15_17-54-59
2025-12-15_18-07-28,0,Main.java:2025-12-15_18-07-28
2025-12-15_18-08-56,0,Main.java:2025-12-15_18-08-56
2025-12-15_18-09-45,0,Main.java:2025-12-15_18-09-45
2025-12-15_18-09-49,0,Main.java:2025-12-15_18-09-49
2025-12-15_18-10-12,0,Main.java:2025-12-15_18-10-12
2025-12-15_18-10-35,0,Main.java:2025-12-15_18-10-35
2025-12-15_18-10-51,0,Main.java:2025-12-15_18-10-51
2025-12-15_18-30-16,0,Main.java:2025-12-15_18-30-16
